snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2006/03/19 23:00:00,2006-03-19T16:00:00,"{'bid': 12183.0, 'ask': 12183.0, 'lastTraded': None}","{'bid': 12167.0, 'ask': 12167.0, 'lastTraded': None}","{'bid': 12197.0, 'ask': 12197.0, 'lastTraded': None}","{'bid': 12145.0, 'ask': 12145.0, 'lastTraded': None}",0
2006/03/20 23:00:00,2006-03-20T16:00:00,"{'bid': 12167.0, 'ask': 12167.0, 'lastTraded': None}","{'bid': 12092.0, 'ask': 12092.0, 'lastTraded': None}","{'bid': 12167.0, 'ask': 12167.0, 'lastTraded': None}","{'bid': 12072.0, 'ask': 12072.0, 'lastTraded': None}",0
2006/03/21 23:00:00,2006-03-21T16:00:00,"{'bid': 12092.0, 'ask': 12092.0, 'lastTraded': None}","{'bid': 12074.0, 'ask': 12074.0, 'lastTraded': None}","{'bid': 12114.0, 'ask': 12114.0, 'lastTraded': None}","{'bid': 12062.0, 'ask': 12062.0, 'lastTraded': None}",0
2006/03/22 23:00:00,2006-03-22T16:00:00,"{'bid': 12074.0, 'ask': 12074.0, 'lastTraded': None}","{'bid': 11970.0, 'ask': 11970.0, 'lastTraded': None}","{'bid': 12081.0, 'ask': 12081.0, 'lastTraded': None}","{'bid': 11953.0, 'ask': 11953.0, 'lastTraded': None}",0
2006/03/23 23:00:00,2006-03-23T16:00:00,"{'bid': 11970.0, 'ask': 11970.0, 'lastTraded': None}","{'bid': 12037.0, 'ask': 12037.0, 'lastTraded': None}","{'bid': 12046.0, 'ask': 12046.0, 'lastTraded': None}","{'bid': 11948.0, 'ask': 11948.0, 'lastTraded': None}",0
2006/03/27 00:00:00,2006-03-26T16:00:00,"{'bid': 12037.0, 'ask': 12037.0, 'lastTraded': None}","{'bid': 12012.0, 'ask': 12012.0, 'lastTraded': None}","{'bid': 12061.0, 'ask': 12061.0, 'lastTraded': None}","{'bid': 12001.0, 'ask': 12001.0, 'lastTraded': None}",0
2006/03/28 00:00:00,2006-03-27T16:00:00,"{'bid': 12012.0, 'ask': 12012.0, 'lastTraded': None}","{'bid': 12000.0, 'ask': 12000.0, 'lastTraded': None}","{'bid': 12109.0, 'ask': 12109.0, 'lastTraded': None}","{'bid': 11990.0, 'ask': 11990.0, 'lastTraded': None}",0
2006/03/29 00:00:00,2006-03-28T16:00:00,"{'bid': 12000.0, 'ask': 12000.0, 'lastTraded': None}","{'bid': 12027.0, 'ask': 12027.0, 'lastTraded': None}","{'bid': 12049.0, 'ask': 12049.0, 'lastTraded': None}","{'bid': 11975.0, 'ask': 11975.0, 'lastTraded': None}",0
2006/03/30 00:00:00,2006-03-29T16:00:00,"{'bid': 12027.0, 'ask': 12027.0, 'lastTraded': None}","{'bid': 12163.0, 'ask': 12163.0, 'lastTraded': None}","{'bid': 12169.0, 'ask': 12169.0, 'lastTraded': None}","{'bid': 12019.0, 'ask': 12019.0, 'lastTraded': None}",0
2006/03/31 00:00:00,2006-03-30T16:00:00,"{'bid': 12163.0, 'ask': 12163.0, 'lastTraded': None}","{'bid': 12125.5, 'ask': 12125.5, 'lastTraded': None}","{'bid': 12175.0, 'ask': 12175.0, 'lastTraded': None}","{'bid': 12076.0, 'ask': 12076.0, 'lastTraded': None}",0
2006/04/03 00:00:00,2006-04-02T16:00:00,"{'bid': 12119.0, 'ask': 12119.0, 'lastTraded': None}","{'bid': 12131.0, 'ask': 12131.0, 'lastTraded': None}","{'bid': 12148.0, 'ask': 12148.0, 'lastTraded': None}","{'bid': 12029.0, 'ask': 12029.0, 'lastTraded': None}",0
2006/04/04 00:00:00,2006-04-03T16:00:00,"{'bid': 12131.0, 'ask': 12131.0, 'lastTraded': None}","{'bid': 12259.0, 'ask': 12259.0, 'lastTraded': None}","{'bid': 12277.0, 'ask': 12277.0, 'lastTraded': None}","{'bid': 12116.0, 'ask': 12116.0, 'lastTraded': None}",0
2006/04/05 00:00:00,2006-04-04T16:00:00,"{'bid': 12259.0, 'ask': 12259.0, 'lastTraded': None}","{'bid': 12296.0, 'ask': 12296.0, 'lastTraded': None}","{'bid': 12306.0, 'ask': 12306.0, 'lastTraded': None}","{'bid': 12241.0, 'ask': 12241.0, 'lastTraded': None}",0
2006/04/06 00:00:00,2006-04-05T16:00:00,"{'bid': 12296.0, 'ask': 12296.0, 'lastTraded': None}","{'bid': 12220.0, 'ask': 12220.0, 'lastTraded': None}","{'bid': 12333.0, 'ask': 12333.0, 'lastTraded': None}","{'bid': 12195.0, 'ask': 12195.0, 'lastTraded': None}",0
2006/04/07 00:00:00,2006-04-06T16:00:00,"{'bid': 12220.0, 'ask': 12220.0, 'lastTraded': None}","{'bid': 12108.0, 'ask': 12108.0, 'lastTraded': None}","{'bid': 12225.0, 'ask': 12225.0, 'lastTraded': None}","{'bid': 12085.0, 'ask': 12085.0, 'lastTraded': None}",0
2006/04/10 00:00:00,2006-04-09T16:00:00,"{'bid': 12108.0, 'ask': 12108.0, 'lastTraded': None}","{'bid': 12111.0, 'ask': 12111.0, 'lastTraded': None}","{'bid': 12129.0, 'ask': 12129.0, 'lastTraded': None}","{'bid': 12074.0, 'ask': 12074.0, 'lastTraded': None}",0
2006/04/11 00:00:00,2006-04-10T16:00:00,"{'bid': 12111.0, 'ask': 12111.0, 'lastTraded': None}","{'bid': 12140.0, 'ask': 12140.0, 'lastTraded': None}","{'bid': 12154.0, 'ask': 12154.0, 'lastTraded': None}","{'bid': 12088.0, 'ask': 12088.0, 'lastTraded': None}",0
2006/04/12 00:00:00,2006-04-11T16:00:00,"{'bid': 12140.0, 'ask': 12140.0, 'lastTraded': None}","{'bid': 12102.0, 'ask': 12102.0, 'lastTraded': None}","{'bid': 12168.0, 'ask': 12168.0, 'lastTraded': None}","{'bid': 12064.0, 'ask': 12064.0, 'lastTraded': None}",0
2006/04/12 00:00:00,2006-04-11T16:00:00,"{'bid': 12140.0, 'ask': 12140.0, 'lastTraded': None}","{'bid': 12102.0, 'ask': 12102.0, 'lastTraded': None}","{'bid': 12168.0, 'ask': 12168.0, 'lastTraded': None}","{'bid': 12064.0, 'ask': 12064.0, 'lastTraded': None}",0
2006/04/13 00:00:00,2006-04-12T16:00:00,"{'bid': 12102.0, 'ask': 12102.0, 'lastTraded': None}","{'bid': 12106.0, 'ask': 12106.0, 'lastTraded': None}","{'bid': 12133.0, 'ask': 12133.0, 'lastTraded': None}","{'bid': 12063.0, 'ask': 12063.0, 'lastTraded': None}",0
2006/04/14 00:00:00,2006-04-13T16:00:00,"{'bid': 12106.0, 'ask': 12106.0, 'lastTraded': None}","{'bid': 12122.0, 'ask': 12122.0, 'lastTraded': None}","{'bid': 12118.0, 'ask': 12118.0, 'lastTraded': None}","{'bid': 12090.0, 'ask': 12090.0, 'lastTraded': None}",0
