datetime,datetimeUTC,open,close,high,low,volumn
2011/03/31 00:00:00,2011-03-30T16:00:00,1.40945,1.41824,1.423305,1.40943,90356
2011/04/01 00:00:00,2011-03-31T16:00:00,1.41823,1.42148,1.42152,1.406195,91953
2011/04/02 00:00:00,2011-04-01T16:00:00,1.42147,1.4235,1.424565,1.419415,13675
2011/04/04 00:00:00,2011-04-03T16:00:00,1.42325,1.42205,1.42687,1.419285,61760
2011/04/05 00:00:00,2011-04-04T16:00:00,1.42204,1.42297,1.423285,1.415185,73489
2011/04/06 00:00:00,2011-04-05T16:00:00,1.423,1.43325,1.434925,1.420865,90112
2011/04/07 00:00:00,2011-04-06T16:00:00,1.43322,1.4286,1.4343,1.424275,92515
2011/04/08 00:00:00,2011-04-07T16:00:00,1.42861,1.44368,1.444445,1.427515,88277
2011/04/09 00:00:00,2011-04-08T16:00:00,1.44369,1.44835,1.44883,1.44174,15968
2011/04/11 00:00:00,2011-04-10T16:00:00,1.44516,1.44531,1.448395,1.44209,61988
2011/04/12 00:00:00,2011-04-11T16:00:00,1.44533,1.44546,1.451945,1.437765,102580
2011/04/13 00:00:00,2011-04-12T16:00:00,1.44547,1.44759,1.452025,1.445105,87687
2011/04/14 00:00:00,2011-04-13T16:00:00,1.4476,1.44629,1.451475,1.43654,106301
2011/04/15 00:00:00,2011-04-14T16:00:00,1.44629,1.44423,1.450405,1.43909,88911
2011/04/15 00:00:00,2011-04-14T16:00:00,1.44629,1.44423,1.450405,1.43909,88911
2011/04/16 00:00:00,2011-04-15T16:00:00,1.44422,1.44305,1.445565,1.44202,10972
2011/04/18 00:00:00,2011-04-17T16:00:00,1.44123,1.42106,1.442355,1.41576,92401
2011/04/19 00:00:00,2011-04-18T16:00:00,1.42107,1.43184,1.43282,1.42054,98413
2011/04/20 00:00:00,2011-04-19T16:00:00,1.43183,1.45129,1.45475,1.431115,107684
2011/04/21 00:00:00,2011-04-20T16:00:00,1.45129,1.45843,1.46488,1.44855,105432
2011/04/22 00:00:00,2011-04-21T16:00:00,1.45842,1.45441,1.458865,1.453165,37709
2011/04/23 00:00:00,2011-04-22T16:00:00,1.45434,1.4561,1.45671,1.45419,2416
2011/04/25 00:00:00,2011-04-24T16:00:00,1.45615,1.45755,1.46277,1.45255,56588
2011/04/26 00:00:00,2011-04-25T16:00:00,1.45757,1.46244,1.465265,1.449345,93621
2011/04/27 00:00:00,2011-04-26T16:00:00,1.46245,1.46581,1.471365,1.46197,98041
2011/04/28 00:00:00,2011-04-27T16:00:00,1.46581,1.47846,1.48819,1.46341,118922
2011/04/29 00:00:00,2011-04-28T16:00:00,1.47847,1.48206,1.487815,1.47728,77194
2011/04/30 00:00:00,2011-04-29T16:00:00,1.48207,1.48084,1.485735,1.480515,13686
2011/05/02 00:00:00,2011-05-01T16:00:00,1.48135,1.48705,1.490215,1.4763,83815
2011/05/03 00:00:00,2011-05-02T16:00:00,1.48703,1.48748,1.48901,1.475455,103456
2011/05/04 00:00:00,2011-05-03T16:00:00,1.48748,1.48585,1.494015,1.477535,118252
2011/05/05 00:00:00,2011-05-04T16:00:00,1.48584,1.45824,1.489955,1.4577,131054
2012/05/19 00:00:00,2012-05-18T16:00:00,1.27205,1.27802,1.27946,1.271455,34030
2012/05/21 00:00:00,2012-05-20T16:00:00,1.278385,1.27687,1.281335,1.27252,96230
2012/05/22 00:00:00,2012-05-21T16:00:00,1.27688,1.27347,1.28247,1.27303,108818
2012/05/23 00:00:00,2012-05-22T16:00:00,1.27348,1.25686,1.27394,1.25636,148455
2012/05/24 00:00:00,2012-05-23T16:00:00,1.25685,1.25828,1.26203,1.251575,156734
2012/05/25 00:00:00,2012-05-24T16:00:00,1.25829,1.25177,1.26028,1.24963,139735
2012/05/26 00:00:00,2012-05-25T16:00:00,1.25178,1.25169,1.25276,1.25081,15371
2012/05/28 00:00:00,2012-05-27T16:00:00,1.25545,1.25417,1.26246,1.252505,88368
2012/05/29 00:00:00,2012-05-28T16:00:00,1.25416,1.24859,1.257485,1.24706,112673
2012/05/30 00:00:00,2012-05-29T16:00:00,1.24861,1.24079,1.25104,1.23863,144447
2012/05/31 00:00:00,2012-05-30T16:00:00,1.24078,1.23632,1.242855,1.23365,132135
2012/06/01 00:00:00,2012-05-31T16:00:00,1.2363,1.24197,1.24564,1.22884,148787
2012/06/02 00:00:00,2012-06-01T16:00:00,1.24193,1.24348,1.24488,1.23824,30524
2012/06/04 00:00:00,2012-06-03T16:00:00,1.24165,1.24941,1.25098,1.238615,105263
2012/06/05 00:00:00,2012-06-04T16:00:00,1.2494,1.24369,1.25425,1.24102,128144
2012/06/06 00:00:00,2012-06-05T16:00:00,1.24368,1.25341,1.25369,1.24262,138371
2012/06/07 00:00:00,2012-06-06T16:00:00,1.25342,1.25667,1.26255,1.25335,140606
